system,degree,monoid_order,depth,level,slot,group_order,structure_description,is_nontrivial,rep_support_size,n_tiles,rep_support_paper,tiles_paper
W_to_D,32,3084,22,8,4,1,1,false,3,3,"{4=(D:0,W:4) 12=(D:1,W:4) 21=(D:2,W:5)}","{4=(D:0,W:4) 12=(D:1,W:4)} | {4=(D:0,W:4) 21=(D:2,W:5)} | {12=(D:1,W:4) 21=(D:2,W:5)}"
W_to_D,32,3084,22,8,5,1,1,false,3,3,"{17=(D:2,W:1) 19=(D:2,W:3) 31=(D:3,W:7)}","{17=(D:2,W:1) 19=(D:2,W:3)} | {17=(D:2,W:1) 31=(D:3,W:7)} | {19=(D:2,W:3) 31=(D:3,W:7)}"
W_to_D,32,3084,22,8,6,1,1,false,3,3,"{10=(D:1,W:2) 17=(D:2,W:1) 19=(D:2,W:3)}","{10=(D:1,W:2) 17=(D:2,W:1)} | {10=(D:1,W:2) 19=(D:2,W:3)} | {17=(D:2,W:1) 19=(D:2,W:3)}"
W_to_D,32,3084,22,9,1,1,1,false,3,3,"{0=(D:0,W:0) 17=(D:2,W:1) 19=(D:2,W:3)}","{0=(D:0,W:0) 17=(D:2,W:1)} | {0=(D:0,W:0) 19=(D:2,W:3)} | {17=(D:2,W:1) 19=(D:2,W:3)}"
W_to_D,32,3084,22,9,2,1,1,false,3,3,"{19=(D:2,W:3) 22=(D:2,W:6) 23=(D:2,W:7)}","{19=(D:2,W:3) 22=(D:2,W:6)} | {19=(D:2,W:3) 23=(D:2,W:7)} | {22=(D:2,W:6) 23=(D:2,W:7)}"
W_to_D,32,3084,22,9,3,1,1,false,3,3,"{0=(D:0,W:0) 17=(D:2,W:1) 29=(D:3,W:5)}","{0=(D:0,W:0) 17=(D:2,W:1)} | {0=(D:0,W:0) 29=(D:3,W:5)} | {17=(D:2,W:1) 29=(D:3,W:5)}"
W_to_D,32,3084,22,9,4,1,1,false,3,3,"{15=(D:1,W:7) 19=(D:2,W:3) 22=(D:2,W:6)}","{15=(D:1,W:7) 19=(D:2,W:3)} | {15=(D:1,W:7) 22=(D:2,W:6)} | {19=(D:2,W:3) 22=(D:2,W:6)}"
W_to_D,32,3084,22,9,5,1,1,false,3,3,"{21=(D:2,W:5) 22=(D:2,W:6) 23=(D:2,W:7)}","{21=(D:2,W:5) 22=(D:2,W:6)} | {21=(D:2,W:5) 23=(D:2,W:7)} | {22=(D:2,W:6) 23=(D:2,W:7)}"
W_to_D,32,3084,22,9,6,1,1,false,3,3,"{21=(D:2,W:5) 22=(D:2,W:6) 31=(D:3,W:7)}","{21=(D:2,W:5) 22=(D:2,W:6)} | {21=(D:2,W:5) 31=(D:3,W:7)} | {22=(D:2,W:6) 31=(D:3,W:7)}"
W_to_D,32,3084,22,9,7,1,1,false,3,3,"{0=(D:0,W:0) 9=(D:1,W:1) 19=(D:2,W:3)}","{0=(D:0,W:0) 9=(D:1,W:1)} | {0=(D:0,W:0) 19=(D:2,W:3)} | {9=(D:1,W:1) 19=(D:2,W:3)}"
W_to_D,32,3084,22,10,1,2,C2,true,3,3,"{4=(D:0,W:4) 12=(D:1,W:4) 17=(D:2,W:1)}","{4=(D:0,W:4) 12=(D:1,W:4)} | {4=(D:0,W:4) 17=(D:2,W:1)} | {12=(D:1,W:4) 17=(D:2,W:1)}"
W_to_D,32,3084,22,10,2,1,1,false,3,3,"{10=(D:1,W:2) 18=(D:2,W:2) 19=(D:2,W:3)}","{10=(D:1,W:2) 18=(D:2,W:2)} | {10=(D:1,W:2) 19=(D:2,W:3)} | {18=(D:2,W:2) 19=(D:2,W:3)}"
W_to_D,32,3084,22,10,3,1,1,false,3,3,"{19=(D:2,W:3) 22=(D:2,W:6) 30=(D:3,W:6)}","{19=(D:2,W:3) 22=(D:2,W:6)} | {19=(D:2,W:3) 30=(D:3,W:6)} | {22=(D:2,W:6) 30=(D:3,W:6)}"
W_to_D,32,3084,22,10,4,1,1,false,3,3,"{9=(D:1,W:1) 10=(D:1,W:2) 18=(D:2,W:2)}","{9=(D:1,W:1) 10=(D:1,W:2)} | {9=(D:1,W:1) 18=(D:2,W:2)} | {10=(D:1,W:2) 18=(D:2,W:2)}"
W_to_D,32,3084,22,10,5,1,1,false,3,3,"{13=(D:1,W:5) 22=(D:2,W:6) 30=(D:3,W:6)}","{13=(D:1,W:5) 22=(D:2,W:6)} | {13=(D:1,W:5) 30=(D:3,W:6)} | {22=(D:2,W:6) 30=(D:3,W:6)}"
W_to_D,32,3084,22,11,1,1,1,false,3,3,"{4=(D:0,W:4) 21=(D:2,W:5) 29=(D:3,W:5)}","{4=(D:0,W:4) 21=(D:2,W:5)} | {4=(D:0,W:4) 29=(D:3,W:5)} | {21=(D:2,W:5) 29=(D:3,W:5)}"
