scheme,n_cases,frac_has_composite,n_has_composite,frac_aperiodic_monoid,n_aperiodic_monoid,frac_gen_level,n_gen_level,wc_comp,wc_dn,wc_wta,wc_none,coupled_psi_n,coupled_psi_frac_composite,coupled_psi_frac_gen_level,coupled_psi_frac_aperiodic
rec_async_D,16777216,0.37398815155029297,6274480,0.626011848449707,10502736,0.37398815155029297,6274480,6274480,0,0,10502736,16776192,0.37401097936885797,0.37401097936885797,0.625989020631142
rec_async_W,16777216,0.37398815155029297,6274480,0.626011848449707,10502736,0.37398815155029297,6274480,6274480,0,0,10502736,16776192,0.37401097936885797,0.37401097936885797,0.625989020631142
rec_sync,16777216,0.5135916471481323,8616638,0.4864083528518677,8160578,0.5135916471481323,8616638,8616638,0,0,8160578,16776192,0.5136229962079595,0.5136229962079595,0.4863770037920405
